metric,coverage,quantity,point_estimate,ci_low,ci_high,n_bootstrap
n_unique_states,0.9,rmse,0.10493852847587153,0.10246326574889773,0.10716231934375553,200
n_unique_states,0.8,mae,0.04209976831135273,0.04112219721202111,0.04299095171774745,200
n_unique_states,0.8,rmse,0.09883794182001739,0.09657798077003595,0.10115740111832794,200
n_unique_states,0.7,mae,0.0390931067004927,0.038115321252055516,0.039967566840218696,200
n_unique_states,0.7,rmse,0.09296220469576444,0.09048448571661687,0.09548810970310957,200
n_unique_states,0.5,mae,0.03264372447914224,0.03182242181853133,0.03348077233931323,200
n_unique_states,0.5,rmse,0.08080832613782697,0.07852379901420888,0.0833265138916686,200
neighborhood_compactness,,nAURC(MAE),0.9013407616180826,0.8935360316167528,0.9081813480474659,200
neighborhood_compactness,1.0,mae,0.048378500101438585,0.04736070727914269,0.049353253356373764,200
neighborhood_compactness,1.0,rmse,0.11058246010143752,0.10809559799572807,0.1127758912344722,200
neighborhood_compactness,0.95,mae,0.046173955707378485,0.0452521892371465,0.047068832148830037,200
neighborhood_compactness,0.95,rmse,0.10677513336507082,0.10447858811179092,0.10896298789821939,200
neighborhood_compactness,0.9,mae,0.0448736934276298,0.043908494327426106,0.04573675053104751,200
neighborhood_compactness,0.9,rmse,0.10494589244199215,0.10243506699579448,0.10706291303788038,200
neighborhood_compactness,0.8,mae,0.04329482542436562,0.04234869741817047,0.04412472107613326,200
neighborhood_compactness,0.8,rmse,0.10201001700425825,0.09930772618680661,0.1042332977691525,200
neighborhood_compactness,0.7,mae,0.04231552794287895,0.04136107715264753,0.043173688226986695,200
neighborhood_compactness,0.7,rmse,0.10081059097326618,0.09806440077614041,0.10298182716457167,200
neighborhood_compactness,0.5,mae,0.042335860396746965,0.04124330917219632,0.04330984836186648,200
neighborhood_compactness,0.5,rmse,0.10153350854293458,0.0985589834441923,0.10414786300660427,200
cct_weighted_std,,nAURC(MAE),0.7911093095972505,0.7837247730977647,0.7967983994179418,200
cct_weighted_std,1.0,mae,0.048378500101438585,0.04736070727914268,0.04935325335637376,200
cct_weighted_std,1.0,rmse,0.11058246010143752,0.10809559799572808,0.1127758912344722,200
cct_weighted_std,0.95,mae,0.043101690610144176,0.04210513026266871,0.04403707572424087,200
cct_weighted_std,0.95,rmse,0.10103399796061031,0.09871355643289753,0.1033393921458655,200
cct_weighted_std,0.9,mae,0.04058555736939212,0.03957771976175139,0.04149188321667559,200
cct_weighted_std,0.9,rmse,0.09765924519848344,0.09495856423124803,0.09995116932565132,200
cct_weighted_std,0.8,mae,0.037752733781179215,0.036865693145244294,0.03864623265429712,200
cct_weighted_std,0.8,rmse,0.09432093647839096,0.09186176059713287,0.09678167610374525,200
