group,n_states,span_days,bursts_6h,bursts_12h,bursts_24h,bursts_48h,bursts_72h
224,10,0.4166666666666667,1,1,1,1,1
152,10,0.6666666666666666,2,1,1,1,1
1776,9,0.3333333333333333,1,1,1,1,1
12,9,0.3333333333333333,1,1,1,1,1
1509,9,0.3333333333333333,1,1,1,1,1
1642,9,0.3333333333333333,1,1,1,1,1
1592,9,0.3333333333333333,1,1,1,1,1
87,9,1.9583333333333333,4,3,1,1,1
522,9,0.5,1,1,1,1,1
89,9,2.2916666666666665,2,2,2,1,1
1045,9,0.375,1,1,1,1,1
491,9,0.5,1,1,1,1,1
72,9,0.3333333333333333,1,1,1,1,1
1312,9,0.3333333333333333,1,1,1,1,1
1374,9,0.375,1,1,1,1,1
1371,9,0.3333333333333333,1,1,1,1,1
1299,9,0.3333333333333333,1,1,1,1,1
1280,9,0.3333333333333333,1,1,1,1,1
1718,9,0.3333333333333333,1,1,1,1,1
1197,9,1.2083333333333333,2,2,1,1,1
501,9,0.3333333333333333,1,1,1,1,1
1670,9,1.1666666666666667,2,2,1,1,1
1534,8,1.0416666666666667,2,2,1,1,1
62,8,0.2916666666666667,1,1,1,1,1
811,8,0.3333333333333333,1,1,1,1,1
435,8,0.2916666666666667,1,1,1,1,1
1170,8,0.2916666666666667,1,1,1,1,1
1198,8,0.2916666666666667,1,1,1,1,1
285,8,0.3333333333333333,1,1,1,1,1
467,8,0.2916666666666667,1,1,1,1,1
1688,8,0.2916666666666667,1,1,1,1,1
1660,8,0.875,2,2,1,1,1
459,8,0.2916666666666667,1,1,1,1,1
166,8,0.375,1,1,1,1,1
1350,8,1.3333333333333333,2,2,2,1,1
1440,8,0.2916666666666667,1,1,1,1,1
1396,8,0.2916666666666667,1,1,1,1,1
1351,8,0.2916666666666667,1,1,1,1,1
303,8,0.2916666666666667,1,1,1,1,1
1363,8,0.2916666666666667,1,1,1,1,1
1217,8,0.5416666666666666,2,1,1,1,1
274,8,0.3333333333333333,1,1,1,1,1
1611,8,0.2916666666666667,1,1,1,1,1
530,8,0.2916666666666667,1,1,1,1,1
1694,8,0.2916666666666667,1,1,1,1,1
1654,8,0.2916666666666667,1,1,1,1,1
1522,8,0.2916666666666667,1,1,1,1,1
748,8,0.2916666666666667,1,1,1,1,1
625,8,0.2916666666666667,1,1,1,1,1
1127,8,0.2916666666666667,1,1,1,1,1
972,7,0.2916666666666667,1,1,1,1,1
340,7,0.4166666666666667,1,1,1,1,1
396,7,1.2083333333333333,2,2,1,1,1
764,7,0.25,1,1,1,1,1
1613,7,0.25,1,1,1,1,1
1632,7,0.75,2,2,1,1,1
130,7,0.25,1,1,1,1,1
694,7,0.3333333333333333,1,1,1,1,1
442,7,0.9583333333333334,2,2,1,1,1
1747,7,0.25,1,1,1,1,1
88,7,0.5833333333333334,2,1,1,1,1
732,7,0.25,1,1,1,1,1
163,7,1.0833333333333333,2,2,1,1,1
1298,7,0.25,1,1,1,1,1
900,7,0.25,1,1,1,1,1
775,7,0.25,1,1,1,1,1
39,7,0.25,1,1,1,1,1
1267,7,0.25,1,1,1,1,1
1385,7,0.25,1,1,1,1,1
221,7,0.25,1,1,1,1,1
1245,7,0.375,1,1,1,1,1
33,7,0.25,1,1,1,1,1
1116,7,0.2916666666666667,1,1,1,1,1
294,7,0.25,1,1,1,1,1
1180,7,0.25,1,1,1,1,1
1235,7,0.25,1,1,1,1,1
1007,7,0.25,1,1,1,1,1
1362,7,0.25,1,1,1,1,1
1369,7,0.25,1,1,1,1,1
1484,7,0.25,1,1,1,1,1
1397,7,0.2916666666666667,1,1,1,1,1
1415,7,0.25,1,1,1,1,1
1685,6,0.875,2,2,1,1,1
1039,6,0.20833333333333334,1,1,1,1,1
1713,6,0.20833333333333334,1,1,1,1,1
1158,6,0.20833333333333334,1,1,1,1,1
1260,6,1.0833333333333333,2,2,1,1,1
466,6,0.20833333333333334,1,1,1,1,1
261,6,0.25,1,1,1,1,1
1427,6,0.20833333333333334,1,1,1,1,1
1463,6,0.5,2,1,1,1,1
196,6,0.25,1,1,1,1,1
1337,6,0.20833333333333334,1,1,1,1,1
1325,6,0.20833333333333334,1,1,1,1,1
273,6,0.20833333333333334,1,1,1,1,1
1189,6,0.20833333333333334,1,1,1,1,1
1160,6,0.25,1,1,1,1,1
936,6,0.20833333333333334,1,1,1,1,1
977,6,0.20833333333333334,1,1,1,1,1
1665,6,0.20833333333333334,1,1,1,1,1
916,6,0.25,1,1,1,1,1
989,6,0.25,1,1,1,1,1
1315,6,0.20833333333333334,1,1,1,1,1
1353,6,0.20833333333333334,1,1,1,1,1
1386,6,0.20833333333333334,1,1,1,1,1
1423,6,0.3333333333333333,1,1,1,1,1
169,6,0.20833333333333334,1,1,1,1,1
1452,6,0.20833333333333334,1,1,1,1,1
1527,6,0.20833333333333334,1,1,1,1,1
1538,6,0.20833333333333334,1,1,1,1,1
762,6,0.20833333333333334,1,1,1,1,1
1533,6,0.20833333333333334,1,1,1,1,1
1510,6,0.20833333333333334,1,1,1,1,1
1653,6,0.5833333333333334,2,1,1,1,1
1585,6,0.20833333333333334,1,1,1,1,1
1634,6,0.20833333333333334,1,1,1,1,1
438,6,0.20833333333333334,1,1,1,1,1
1645,6,0.25,1,1,1,1,1
1587,6,0.20833333333333334,1,1,1,1,1
1563,6,0.20833333333333334,1,1,1,1,1
1560,6,0.20833333333333334,1,1,1,1,1
721,6,0.20833333333333334,1,1,1,1,1
1754,6,0.4166666666666667,1,1,1,1,1
471,6,0.4166666666666667,1,1,1,1,1
733,6,0.2916666666666667,1,1,1,1,1
1601,6,0.20833333333333334,1,1,1,1,1
794,6,0.20833333333333334,1,1,1,1,1
153,6,0.20833333333333334,1,1,1,1,1
807,6,0.20833333333333334,1,1,1,1,1
563,6,0.20833333333333334,1,1,1,1,1
1,6,0.20833333333333334,1,1,1,1,1
347,6,0.20833333333333334,1,1,1,1,1
1029,6,0.20833333333333334,1,1,1,1,1
1405,6,0.25,1,1,1,1,1
333,6,0.20833333333333334,1,1,1,1,1
1453,6,0.20833333333333334,1,1,1,1,1
1441,6,0.20833333333333334,1,1,1,1,1
782,6,0.20833333333333334,1,1,1,1,1
871,6,0.20833333333333334,1,1,1,1,1
397,6,0.25,1,1,1,1,1
1702,5,0.20833333333333334,1,1,1,1,1
1678,5,0.16666666666666666,1,1,1,1,1
1673,5,0.16666666666666666,1,1,1,1,1
443,5,0.16666666666666666,1,1,1,1,1
612,5,0.20833333333333334,1,1,1,1,1
1481,5,0.20833333333333334,1,1,1,1,1
1596,5,0.16666666666666666,1,1,1,1,1
752,5,0.16666666666666666,1,1,1,1,1
729,5,0.25,1,1,1,1,1
747,5,0.16666666666666666,1,1,1,1,1
50,5,0.20833333333333334,1,1,1,1,1
1543,5,0.4583333333333333,2,1,1,1,1
1531,5,0.16666666666666666,1,1,1,1,1
1541,5,0.16666666666666666,1,1,1,1,1
17,5,0.16666666666666666,1,1,1,1,1
634,5,0.16666666666666666,1,1,1,1,1
1650,5,0.16666666666666666,1,1,1,1,1
529,5,0.16666666666666666,1,1,1,1,1
545,5,0.16666666666666666,1,1,1,1,1
1570,5,0.16666666666666666,1,1,1,1,1
1571,5,0.16666666666666666,1,1,1,1,1
1615,5,0.16666666666666666,1,1,1,1,1
19,5,0.16666666666666666,1,1,1,1,1
