metric,coverage,n,mae,rmse,q90,q95
distance_mean,0.8,10369,0.037468872093821284,0.09011145206218907,0.10000113870339375,0.17093577617657252
distance_mean,0.7,9073,0.03570226473605051,0.0873666363984755,0.09999999991589426,0.1600000229539008
distance_mean,0.5,6481,0.03435620312853761,0.08598280089627208,0.09044462317900076,0.15376585569993012
distance_median,1.0,12961,0.039410186960808495,0.09380873374596753,0.10998790997589902,0.17999999999318
distance_median,0.95,12313,0.038795113483993476,0.09204058376874823,0.10977749052158348,0.17999879587211087
distance_median,0.9,11665,0.038731288810179836,0.09264394957879034,0.10902538958471276,0.178389732117545
distance_median,0.8,10369,0.037707429604144284,0.09073723441282358,0.10000000000708219,0.17404092951965996
distance_median,0.7,9073,0.03554039072594067,0.08779358225820347,0.09999324958472311,0.16000333567265487
distance_median,0.5,6481,0.03466848244064053,0.08722659421215198,0.09395249078549539,0.15999999999999998
distance_spread,1.0,12961,0.03941018696080849,0.09380873374596753,0.10998790997589902,0.17999999999318
distance_spread,0.95,12313,0.04046157371724098,0.09577735082634861,0.10999999999999999,0.18629071362012417
distance_spread,0.9,11665,0.04099552516217972,0.09636498434454319,0.10999999999999999,0.18909658522749795
distance_spread,0.8,10369,0.04282344655805175,0.09914854773999483,0.11116619100309186,0.19
distance_spread,0.7,9073,0.04496745570806468,0.10288803154320088,0.12,0.2
distance_spread,0.5,6481,0.046387280728679134,0.10716704834170518,0.12,0.21000000000000002
distance_norm,1.0,12961,0.03941018696080848,0.09380873374596753,0.10998790997589902,0.17999999999318
distance_norm,0.95,12313,0.03775647156762648,0.08958598740906237,0.10000005010432214,0.17093577617657252
distance_norm,0.9,11665,0.03624784296118591,0.08737254600557291,0.09999999896050867,0.16632043523184636
distance_norm,0.8,10369,0.03510400863683066,0.08542314547963288,0.09044462317900076,0.1600004070279708
distance_norm,0.7,9073,0.034711061758051366,0.08500258550467907,0.09005600465526085,0.15999999999651057
distance_norm,0.5,6481,0.0313850947547109,0.07852787859317288,0.08000000040549837,0.13999999997589363
