metric,coverage,quantity,point_estimate,ci_low,ci_high,n_bootstrap
cct_distance_correlation_abs,0.8,mae,0.01856863828377716,0.01845959902965197,0.018691393196786588,200
cct_distance_correlation_abs,0.8,rmse,0.029963506549060687,0.029739737534436435,0.030214196243474753,200
cct_distance_correlation_abs,0.7,mae,0.018709767910807924,0.01858144801413044,0.01884434649210479,200
cct_distance_correlation_abs,0.7,rmse,0.030257776060612033,0.02997931926912105,0.030522751196727104,200
cct_distance_correlation_abs,0.5,mae,0.019029418494312517,0.018871234922439428,0.019182019649468925,200
cct_distance_correlation_abs,0.5,rmse,0.030894519483196464,0.030555309688717253,0.03127884542385247,200
distance_min,,nAURC(MAE),1.0270417358676698,1.02407281940843,1.0294739726723685,200
distance_min,1.0,mae,0.018385195986110308,0.018288819962308467,0.018496011270710832,200
distance_min,1.0,rmse,0.02962441873557353,0.029419839554098423,0.02985129253484255,200
distance_min,0.95,mae,0.018456654653941182,0.018364825447345794,0.018580589080819863,200
distance_min,0.95,rmse,0.029929103188097,0.0297069943040854,0.030144040767501486,200
distance_min,0.9,mae,0.01858119623381623,0.01848819060994859,0.01869168534815958,200
distance_min,0.9,rmse,0.03028402646304257,0.03005089201687091,0.030517894209842432,200
distance_min,0.8,mae,0.018816333881330864,0.018704195457422086,0.01893714749507862,200
distance_min,0.8,rmse,0.030823346527580186,0.030611229525263153,0.03104942359840142,200
distance_min,0.7,mae,0.019015123886759508,0.018903147028756395,0.019137378820018616,200
distance_min,0.7,rmse,0.03114372724835408,0.03092171060719975,0.03138578618230919,200
distance_min,0.5,mae,0.01931138481281418,0.019186759384685968,0.019439993399110227,200
distance_min,0.5,rmse,0.031267439343902505,0.030963152348798113,0.03156837732426407,200
distance_mean,,nAURC(MAE),1.0300565086801439,1.0269593873748353,1.0325563829242406,200
distance_mean,1.0,mae,0.018385195986110308,0.018288819962308467,0.018496011270710832,200
distance_mean,1.0,rmse,0.02962441873557353,0.029419839554098423,0.029851292534842547,200
distance_mean,0.95,mae,0.01847373573087407,0.01838265486848811,0.01859092217143837,200
distance_mean,0.95,rmse,0.029922952382236502,0.029701895941138815,0.030141100787436762,200
distance_mean,0.9,mae,0.018585931635480633,0.018489620016564113,0.018704544857379265,200
distance_mean,0.9,rmse,0.030251381181725795,0.030022546606407408,0.0304865897580809,200
distance_mean,0.8,mae,0.018857262429043037,0.018751652084516915,0.01897594802347423,200
distance_mean,0.8,rmse,0.030894059907715307,0.03065572443972478,0.03114444803490782,200
distance_mean,0.7,mae,0.019103167303859924,0.018980614865118716,0.019226746581589495,200
distance_mean,0.7,rmse,0.03134300450927871,0.03109590773094389,0.03159810548723085,200
distance_mean,0.5,mae,0.019406053963216725,0.01929301431836904,0.019540026891200206,200
distance_mean,0.5,rmse,0.03147627043118459,0.031169308209872293,0.031768420565770346,200
distance_median,,nAURC(MAE),1.0303681555782829,1.0271531556815447,1.032835456518851,200
distance_median,1.0,mae,0.018385195986110308,0.018288819962308463,0.01849601127071083,200
distance_median,1.0,rmse,0.02962441873557353,0.029419839554098423,0.02985129253484255,200
distance_median,0.95,mae,0.018475965247622902,0.018384794234394507,0.018591875357477115,200
distance_median,0.95,rmse,0.02992370791683678,0.02970425379152264,0.030144461038718685,200
distance_median,0.9,mae,0.018587822423503642,0.018493121589151677,0.018708502651628964,200
distance_median,0.9,rmse,0.03025273594001554,0.030024433956967748,0.030487715754721475,200
distance_median,0.8,mae,0.018860413894950512,0.01875433662173745,0.018981630310363803,200
distance_median,0.8,rmse,0.03089370401174361,0.03064853252496016,0.03114784081448432,200
distance_median,0.7,mae,0.01911225153379477,0.01899296242890545,0.0192381226245868,200
distance_median,0.7,rmse,0.03135881533137248,0.03110185681094131,0.03161748144079488,200
distance_median,0.5,mae,0.019415081037388073,0.019303684705286133,0.019547426578638356,200
distance_median,0.5,rmse,0.031485173077427986,0.031168240956290765,0.03177375714865215,200
distance_spread,,nAURC(MAE),1.0273139568068108,1.0244409512518973,1.0304768403020907,200
distance_spread,1.0,mae,0.018385195986110308,0.018288819962308467,0.018496011270710832,200
distance_spread,1.0,rmse,0.02962441873557353,0.029419839554098427,0.02985129253484255,200
distance_spread,0.95,mae,0.018470194207022804,0.018379342427485575,0.018576269587667404,200
distance_spread,0.95,rmse,0.029769662575299956,0.02956830526842346,0.02997887382136592,200
distance_spread,0.9,mae,0.01856158064910289,0.018469386672594082,0.018672537306458854,200
distance_spread,0.9,rmse,0.02998534882902621,0.029788968315270253,0.03021172543931667,200
distance_spread,0.8,mae,0.018801055943367673,0.018695839934902547,0.018913489531919264,200
distance_spread,0.8,rmse,0.03050503926814204,0.030282126517241766,0.030725415065421993,200
distance_spread,0.7,mae,0.01898835838362728,0.01887182991603909,0.0191155377591796,200
distance_spread,0.7,rmse,0.030930418128716008,0.030677050061392944,0.031173643873494635,200
distance_spread,0.5,mae,0.01938892685349027,0.019253038025365262,0.019536919449848467,200
distance_spread,0.5,rmse,0.03151400851780666,0.03123851766270447,0.03182149087020365,200
distance_norm,,nAURC(MAE),0.9843841883663109,0.9816287653285394,0.9870682600581163,200
distance_norm,1.0,mae,0.018385195986110308,0.018288819962308463,0.018496011270710832,200
distance_norm,1.0,rmse,0.02962441873557353,0.029419839554098427,0.02985129253484255,200
distance_norm,0.95,mae,0.018251261740457266,0.018155855549853026,0.018366068970658345,200
distance_norm,0.95,rmse,0.029222873927770284,0.02900686592655756,0.02944562201309451,200
